State,Crop,Crop title,Variety,Year,Unit,Value
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2000,Percent of all corn planted,4
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2001,Percent of all corn planted,6
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2002,Percent of all corn planted,6
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2003,Percent of all corn planted,7
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2004,Percent of all corn planted,8
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2005,Percent of all corn planted,11
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2006,Percent of all corn planted,15
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2007,Percent of all corn planted,17
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2008,Percent of all corn planted,16
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2009,Percent of all corn planted,17
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2010,Percent of all corn planted,20
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2011,Percent of all corn planted,22
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2012,Percent of all corn planted,15
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2013,Percent of all corn planted,10
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2014,Percent of all corn planted,8
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2015,Percent of all corn planted,8
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2016,Percent of all corn planted,9
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2017,Percent of all corn planted,9
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2018,Percent of all corn planted,7
Indiana,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2019,Percent of all corn planted,9
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2000,Percent of all corn planted,*
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2001,Percent of all corn planted,*
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2002,Percent of all corn planted,*
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2003,Percent of all corn planted,1
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2004,Percent of all corn planted,2
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2005,Percent of all corn planted,4
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2006,Percent of all corn planted,12
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2007,Percent of all corn planted,30
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2008,Percent of all corn planted,55
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2009,Percent of all corn planted,55
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2010,Percent of all corn planted,56
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2011,Percent of all corn planted,56
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2012,Percent of all corn planted,60
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2013,Percent of all corn planted,73
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2014,Percent of all corn planted,78
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2015,Percent of all corn planted,76
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2016,Percent of all corn planted,75
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2017,Percent of all corn planted,75
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2018,Percent of all corn planted,77
Indiana,Corn,Genetically engineered (GE) corn varieties,Stacked gene varieties,2019,Percent of all corn planted,76
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2000,Percent of all corn planted,11
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2001,Percent of all corn planted,12
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2002,Percent of all corn planted,13
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2003,Percent of all corn planted,16
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2004,Percent of all corn planted,21
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2005,Percent of all corn planted,26
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2006,Percent of all corn planted,40
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2007,Percent of all corn planted,59
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2008,Percent of all corn planted,78
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2009,Percent of all corn planted,79
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2010,Percent of all corn planted,83
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2011,Percent of all corn planted,85
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2012,Percent of all corn planted,84
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2013,Percent of all corn planted,85
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2014,Percent of all corn planted,88
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2015,Percent of all corn planted,88
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2016,Percent of all corn planted,86
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2017,Percent of all corn planted,87
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2018,Percent of all corn planted,86
Indiana,Corn,Genetically engineered (GE) corn varieties,All GE varieties,2019,Percent of all corn planted,87
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2000,Percent of all corn planted,23
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2001,Percent of all corn planted,25
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2002,Percent of all corn planted,31
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2003,Percent of all corn planted,33
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2004,Percent of all corn planted,36
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2005,Percent of all corn planted,35
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2006,Percent of all corn planted,32
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2007,Percent of all corn planted,22
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2008,Percent of all corn planted,16
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2009,Percent of all corn planted,14
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2010,Percent of all corn planted,15
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2011,Percent of all corn planted,13
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2012,Percent of all corn planted,12
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2013,Percent of all corn planted,5
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2014,Percent of all corn planted,4
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2015,Percent of all corn planted,5
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2016,Percent of all corn planted,3
Iowa,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2017,Percent of all corn planted,5
