Unique Well Identifier,Status,Surface Latitude,Surface Longitude
100/01-19-035-09W4/0,Closed,52.014423,-111.269004
100/15-18-035-12W4/0,Closed,52.014149,-111.696406
100/06-20-035-12W4/0,Closed,52.014150,-111.696188
100/01-19-036-17W4/0,Active,52.101979,-112.411687
100/01-19-038-16W4/0,Closed,52.277116,-112.271730
100/01-19-051-04W5/0,Active,53.410937,-114.569843
100/01-19-052-11W4/0,Closed,53.501249,-111.605090
100/01-19-089-03W5/0,Closed,56.727476,-114.457012
100/01-19-122-21W5/2,Active,59.606521,-117.597664
100/14-19-122-21W5/0,Active,59.606748,-117.598102
100/11-19-122-21W5/0,Active,59.606523,-117.598107
100/01-20-017-25W4/0,Active,50.442926,-113.395751
100/01-20-018-29W4/0,Closed,50.531089,-113.947232
100/01-20-038-03W4/0,Closed,52.274977,-110.389336
100/01-20-048-07W4/0,Closed,53.149670,-110.981202
102/01-20-052-07W5/0,Closed,53.499919,-114.985978
100/01-20-059-14W4/0,Closed,54.110945,-112.056713
102/01-20-079-22W5/0,Closed,55.854812,-117.395315
102/01-20-110-03W6/2,Active,58.560190,-118.452644
100/01-20-116-03W6/0,Closed,59.084811,-118.457624
100/01-21-013-27W4/0,Active,50.092886,-113.619380
100/01-21-014-12W4/0,Closed,50.182370,-111.578731
100/01-21-016-17W4/0,Closed,50.356652,-112.277275
100/01-21-016-23W4/0,Closed,50.356675,-113.101984
100/01-21-019-29W4/0,Closed,50.618597,-113.952623
100/01-21-038-03W4/0,Closed,52.274737,-110.363213
100/01-21-039-26W4/0,Closed,52.363128,-113.678885
100/01-21-047-20W4/0,Closed,53.062970,-112.858918
100/08-21-060-23W5/0,Active,54.198947,-117.380877
102/09-16-066-22W4/2,Active,54.720014,-113.263121
100/06-21-066-22W4/0,Active,54.720014,-113.262889
100/01-21-093-03W6/0,Closed,57.076081,-118.408692
100/01-22-005-05W4/0,Closed,49.395125,-110.594231
100/01-22-017-26W4/0,Closed,50.443611,-113.484718
100/01-22-018-23W4/0,Active,50.531381,-113.079136
100/16-15-018-29W4/0,Active,50.531751,-113.898551
100/01-22-039-26W4/0,Closed,52.362835,-113.654598
102/01-22-042-25W4/0,Closed,52.624647,-113.511892
100/01-22-045-07W4/0,Closed,52.889846,-110.928090
100/01-22-046-20W4/0,Closed,52.976130,-112.812352
102/01-22-049-27W4/0,Closed,53.236509,-113.856199
102/01-22-050-03W4/0,Active,53.322664,-110.351305
100/01-22-050-03W4/0,Active,53.324079,-110.347775
100/08-22-050-03W4/0,Active,53.324214,-110.347775
100/01-22-071-10W6/0,Active,55.159161,-119.441487
100/01-22-077-13W5/0,Closed,55.680382,-115.921259
100/01-22-089-03W5/0,Closed,56.728467,-114.375420
100/14-23-001-20W4/2,Closed,49.043676,-112.567123
103/01-23-017-21W4/0,Closed,50.444071,-112.777294
100/01-23-018-29W4/0,Closed,50.529588,-113.874749
100/01-23-020-26W4/0,Closed,50.706076,-113.493118
100/01-23-037-02W4/0,Closed,52.188744,-110.175095
100/01-23-068-22W5/0,Closed,54.895833,-117.233221
100/01-23-087-06W6/0,Active,56.553607,-118.826384
100/01-23-088-04W6/0,Closed,56.642108,-118.511371
100/01-24-009-12W4/0,Closed,49.744067,-111.496860
100/01-24-016-29W4/0,Closed,50.356862,-113.855250
100/07-24-016-30W4/2,Closed,50.355450,-113.992793
100/01-24-017-22W4/0,Closed,50.444305,-112.894792
100/01-24-018-27W4/0,Active,50.531244,-113.580224
100/01-24-020-26W4/0,Closed,50.706478,-113.472708
100/01-24-021-28W4/0,Closed,50.793456,-113.749074
100/01-24-039-20W4/0,Closed,52.364333,-112.744540
100/01-24-048-03W5/0,Closed,53.149515,-114.298874
100/01-24-048-21W4/2,Closed,53.150555,-112.931281
100/01-24-049-08W4/0,Closed,53.235110,-111.031402
100/01-24-070-25W5/2,Closed,55.071419,-117.666562
