,record,sexe,age,NAISS,LANGUE,MINO,Q2r1,Q2r2,Q2r3,Q2r4,Q2r5,Q2r6,Q2r7,Q2r8,Q42,Q46,Q47,Q47B,Q52r1,Q52r2,Q52r3,Q52r4,Q52r5,Q52r6,Q52r7,Q52r8,Q52r9
78,124,Un homme,De 18 à 24 ans,Non,Français,Non,5,5,5,5,3,2,4,4,1,5,3,4,Non,Je ne sais pas,Je ne sais pas,Non,Je préfère ne pas répondre,Non,Non,Non,Je ne sais pas
79,125,Une femme,De 45 à 54 ans,Oui,Italien,Non,4,4,4,4,5,5,5,5,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
80,126,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Oui
81,127,Un homme,75 ans ou plus,Oui,Français,Non,5,5,5,5,3,3,4,3,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
82,128,Un homme,75 ans ou plus,Oui,Français,Non,4,4,4,4,3,3,3,2,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
83,129,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,2,4,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
84,130,Une femme,De 25 à 34 ans,Oui,Français,Non,5,4,5,5,4,3,4,3,2,4,5,4,Oui,Non,Non,Non,Non,Non,Non,Non,Non
85,131,Une femme,De 55 à 64 ans,Oui,Français,Je préfère ne pas répondre,5,5,5,5,5,5,5,5,5,2,5,2,Oui,Je préfère ne pas répondre,Oui,Oui,Oui,Non,Oui,Je préfère ne pas répondre,Non
86,132,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,5,5,5,4,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
87,133,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,2,5,2,1,1,1,5,5,4,9,Non,Non,Non,Non,Non,Non,Non,Non,Non
88,134,Une femme,75 ans ou plus,Oui,Français,Non,5,5,5,5,4,5,4,3,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
89,136,Un homme,De 25 à 34 ans,Oui,Français,Non,5,5,5,4,4,4,5,4,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
90,138,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,3,2,3,3,4,4,4,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
91,139,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,4,4,3,4,3,4,4,3,2,Non,Non,Non,Non,Non,Non,Non,Oui,Non
