,record,sexe,age,NAISS,LANGUE,MINO,Q2r1,Q2r2,Q2r3,Q2r4,Q2r5,Q2r6,Q2r7,Q2r8,Q42,Q46,Q47,Q47B,Q52r1,Q52r2,Q52r3,Q52r4,Q52r5,Q52r6,Q52r7,Q52r8,Q52r9
1352,1894,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,2,1,2,1,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1353,1895,Un homme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,2,2,3,2,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1354,1897,Une femme,De 55 à 64 ans,Oui,Anglais,Oui,3,3,3,3,5,5,5,5,5,2,5,2,Je ne sais pas,Non,Non,Oui,Je ne sais pas,Je ne sais pas,Je ne sais pas,Oui,Oui
1355,1898,Un homme,De 65 à 74 ans,Oui,Anglais,Non,4,4,5,3,5,5,5,5,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1356,1899,Un homme,De 45 à 54 ans,Oui,Anglais,Non,5,5,5,5,5,5,5,5,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Oui
1357,1900,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,4,1,Non,Non,Non,Non,Non,Je ne sais pas,Non,Non,Non
1358,1901,Une femme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,4,3,4,3,4,4,3,2,Oui,Je ne sais pas,Non,Non,Non,Je ne sais pas,Je ne sais pas,Non,Oui
1359,1902,Une femme,De 25 à 34 ans,Non,Français,Oui,5,5,5,5,4,4,4,4,4,2,4,1,Non,Non,Oui,Oui,Non,Non,Non,Non,Je ne sais pas
1360,1903,Une femme,De 45 à 54 ans,Oui,Anglais,Non,4,4,4,4,4,4,4,4,5,5,2,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1361,1904,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,3,2,2,1,4,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1363,1906,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,4,4,4,3,5,5,5,3,Oui,Non,Non,Non,Non,Non,Non,Non,Non
1364,1907,Un homme,De 25 à 34 ans,Oui,Anglais,Non,4,4,4,4,4,4,4,4,5,4,3,2,Oui,Non,Non,Non,Oui,Non,Oui,Non,Oui
1365,1909,Un homme,De 18 à 24 ans,Non,Gujarati,Oui,3,2,2,2,5,4,5,5,5,4,3,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1366,1910,Un homme,De 18 à 24 ans,Non,Gujarati,Non,3,2,2,2,5,4,5,4,4,4,2,3,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui
1367,1911,Une femme,De 25 à 34 ans,Non,Français,Oui,5,5,5,5,5,5,5,4,4,4,5,3,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non
1368,1912,Une femme,De 55 à 64 ans,Oui,Anglais,Non,4,4,4,4,5,5,5,5,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Oui
1369,1913,Une femme,De 18 à 24 ans,Oui,Urdu,Oui,2,2,2,2,5,5,5,5,4,2,1,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1370,1914,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,4,4,3,4,2,5,4,4,3,Non,Non,Non,Non,Non,Oui,Non,Non,Non
1371,1915,Un homme,De 35 à 44 ans,Non,Espagnol,Oui,5,5,5,5,4,4,4,3,5,5,4,1,Non,Non,Oui,Non,Non,Non,Non,Non,Non
1372,1916,Une femme,De 25 à 34 ans,Oui,Français,Non,5,4,5,4,2,2,2,2,4,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1373,1917,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,1,1,1,1,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1374,1918,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,4,2,2,2,2,5,4,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1375,1919,Une femme,De 18 à 24 ans,Non,Français,Oui,5,5,5,5,5,2,4,3,2,2,3,3,Non,Oui,Non,Non,Non,Non,Non,Non,Oui
1376,1920,Un homme,De 25 à 34 ans,Oui,Français,Non,4,4,4,4,4,4,4,4,4,2,4,2,Non,Oui,Non,Non,Oui,Non,Oui,Oui,Non
1377,1921,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,4,3,4,3,4,5,4,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1378,1922,Un homme,75 ans ou plus,Non,Français,Oui,5,5,5,5,3,3,4,4,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1379,1923,Un homme,De 18 à 24 ans,Non,Lingala,Oui,5,4,5,5,2,2,3,2,5,5,4,3,Non,Je ne sais pas,Je ne sais pas,Je ne sais pas,Non,Non,Non,Non,Je ne sais pas
1380,1925,Un homme,De 18 à 24 ans,Oui,Anglais,Non,4,2,4,3,5,5,5,5,4,4,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1381,1948,Une femme,De 35 à 44 ans,Oui,Grecque,Non,3,3,3,2,4,4,4,4,5,5,1,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1382,1949,Une femme,De 25 à 34 ans,Oui,Français,Oui,4,3,3,2,5,5,5,5,4,4,5,2,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui
1383,1950,Une femme,75 ans ou plus,Oui,Français,Non,5,5,5,5,2,2,2,2,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1384,1951,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,1,4,3,4,Non,Non,Non,Non,Non,Non,Oui,Non,Non
1385,1952,Une femme,De 25 à 34 ans,Non,Arabe,Oui,5,5,5,5,4,3,3,3,4,5,3,2,Non,Oui,Non,Non,Oui,Non,Non,Non,Non
1386,1953,Une femme,De 18 à 24 ans,Non,Français,Oui,4,4,4,3,4,3,3,3,4,4,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1387,1954,Une femme,De 25 à 34 ans,Non,Tagalog,Oui,2,1,2,2,4,4,4,4,5,5,2,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1388,1955,Une femme,De 18 à 24 ans,Non,Espagnol,Oui,5,5,5,5,5,4,5,4,4,5,3,1,Non,Oui,Non,Non,Non,Non,Non,Non,Oui
1389,1956,Une femme,De 18 à 24 ans,Oui,Français,Oui,5,5,5,5,3,2,3,3,2,4,4,2,Non,Non,Non,Non,Oui,Non,Non,Non,Non
1390,1957,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,5,4,5,4,5,5,3,1,Non,Non,Non,Non,Non,Non,Oui,Non,Non
1391,1958,Un homme,De 25 à 34 ans,Non,Anglais,Oui,5,5,5,5,5,5,5,5,4,2,3,2,Non,Oui,Non,Non,Non,Non,Non,Non,Oui
1392,1959,Un homme,De 45 à 54 ans,Non,Français,Oui,5,5,5,5,3,2,3,3,5,5,4,2,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas
1393,1960,Une femme,De 55 à 64 ans,Oui,Anglais,Non,5,5,5,5,5,5,5,5,5,5,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1394,1961,Une femme,De 25 à 34 ans,Non,Autre,Oui,5,5,5,5,5,5,5,5,3,5,1,2,Non,Oui,Oui,Non,Non,Non,Non,Non,Non
1395,1962,Un homme,De 45 à 54 ans,Non,Arabe,Oui,4,3,3,3,1,1,1,2,2,2,1,8,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Oui
1397,1965,Un homme,De 18 à 24 ans,Non,Français,Non,5,5,5,5,1,1,1,5,5,5,4,8,Non,Non,Non,Non,Non,Non,Non,Non,Non
1398,1966,Une femme,De 35 à 44 ans,Oui,Portugais,Non,5,5,5,4,4,4,4,4,5,5,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1399,1982,Un homme,De 55 à 64 ans,Oui,Anglais et français,Oui,3,3,3,3,3,3,3,3,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1400,2014,Une femme,De 45 à 54 ans,Oui,Anglais,Non,4,3,3,3,5,5,5,5,5,5,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1401,2015,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,3,2,2,2,5,2,5,2,Non,Non,Non,Je ne sais pas,Non,Non,Non,Non,Non
1402,2016,Un homme,De 18 à 24 ans,Non,Français,Non,5,5,5,5,5,5,5,5,5,4,4,3,Non,Non,Non,Non,Non,Oui,Non,Non,Oui
1403,2017,Un homme,De 35 à 44 ans,Non,Français,Oui,5,5,5,5,4,4,5,5,4,5,2,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1404,2047,Un homme,De 25 à 34 ans,Non,Arabe,Non,2,2,2,2,4,4,4,4,4,4,2,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1405,2049,Un homme,De 65 à 74 ans,Oui,Anglais,Non,2,2,3,2,5,5,5,5,3,2,5,3,Non,Non,Non,Non,Non,Non,Je ne sais pas,Non,Je ne sais pas
1406,2050,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,5,4,5,4,5,5,4,3,Non,Non,Non,Non,Non,Oui,Non,Non,Non
1407,2051,Une femme,De 25 à 34 ans,Oui,Anglais,Non,4,4,4,4,5,5,5,5,4,5,4,2,Oui,Non,Non,Non,Non,Non,Non,Non,Non
1408,2052,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,3,3,3,3,4,3,4,4,Non,Non,Non,Oui,Non,Non,Non,Non,Oui
1409,2053,Une femme,De 25 à 34 ans,Non,Anglais,Oui,2,1,2,1,5,5,5,5,4,4,5,2,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui
1410,2054,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,3,2,3,2,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1411,2082,Un homme,De 45 à 54 ans,Oui,Italien,Non,4,4,4,4,4,4,4,4,5,5,4,2,Non,Oui,Non,Non,Non,Non,Non,Non,Oui
1412,2083,Une femme,De 35 à 44 ans,Non,Arabe,Oui,4,3,5,4,5,5,5,5,5,2,1,2,Non,Non,Non,Non,Non,Non,Non,Non,Oui
1413,2084,Une femme,De 35 à 44 ans,Non,Français,Non,5,5,5,5,4,4,4,4,4,5,3,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1414,2085,Une femme,De 65 à 74 ans,Oui,Français,Non,5,4,5,3,5,4,5,4,5,4,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1415,2086,Un homme,De 45 à 54 ans,Oui,Grecque,Non,4,4,5,4,5,5,5,5,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Oui
1416,2087,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,4,5,3,3,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1417,2089,Un homme,De 65 à 74 ans,Oui,Français,Oui,5,5,5,5,3,3,2,1,4,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1418,2090,Un homme,De 35 à 44 ans,Non,Portugais,Non,2,2,2,2,4,4,4,4,4,4,3,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1419,2091,Un homme,De 18 à 24 ans,Non,Anglais,Je préfère ne pas répondre,2,2,2,2,4,4,4,4,4,5,4,8,Non,Non,Non,Non,Non,Non,Non,Non,Non
1420,2093,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,4,3,3,2,2,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1421,2094,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,5,5,4,2,Non,Non,Non,Non,Non,Non,Oui,Non,Non
1422,2095,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,4,3,2,3,2,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1423,2096,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,3,5,5,2,Non,Non,Non,Non,Non,Non,Oui,Non,Non
1424,2097,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,3,2,3,2,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1425,2098,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,3,2,2,1,1,2,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Oui
1426,2099,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,4,4,4,3,5,5,5,4,Non,Non,Non,Non,Non,Non,Oui,Non,Non
1427,2100,Un homme,De 35 à 44 ans,Non,Arabe,Oui,4,4,5,4,3,3,3,3,4,2,4,3,Non,Oui,Oui,Non,Oui,Non,Non,Non,Oui
1428,2102,Une femme,De 35 à 44 ans,Oui,Anglais,Non,3,3,3,3,4,4,4,4,5,2,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Oui
1429,2103,Un homme,75 ans ou plus,Oui,Français,Non,5,5,5,5,3,3,2,4,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Oui
1430,2104,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,5,4,5,3,5,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1431,2106,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,5,4,5,4,5,1,4,2,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Non
1432,2107,Un homme,De 55 à 64 ans,Oui,Je préfère ne pas répondre,Non,3,2,3,2,4,4,4,4,3,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1433,2108,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,4,3,3,4,2,5,2,4,3,Non,Non,Non,Non,Non,Non,Oui,Non,Non
1434,2109,Une femme,De 18 à 24 ans,Non,Français,Oui,5,5,5,3,5,3,4,3,5,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1435,2113,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1436,2114,Un homme,De 45 à 54 ans,Oui,Italien,Non,5,5,4,2,5,5,5,5,5,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Oui
1437,2115,Une femme,De 45 à 54 ans,Oui,Anglais,Non,5,5,5,5,5,5,5,5,5,1,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1439,2118,Un homme,De 18 à 24 ans,Non,Français,Non,5,5,5,5,3,3,4,3,2,2,2,2,Non,Non,Non,Non,Non,Non,Oui,Non,Oui
1440,2146,Un homme,De 25 à 34 ans,Oui,Chinois,Non,3,3,3,3,5,5,5,5,5,4,2,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1441,2179,Une femme,De 25 à 34 ans,Non,Français,Oui,5,5,5,5,3,2,3,2,5,5,5,3,Non,Oui,Oui,Non,Non,Non,Non,Non,Non
1442,2180,Un homme,De 45 à 54 ans,Oui,Français,Non,4,4,4,4,3,3,3,3,5,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1443,2181,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1444,2182,Un homme,De 25 à 34 ans,Non,Français,Oui,5,5,5,4,4,3,4,3,5,5,5,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1445,2183,Un homme,75 ans ou plus,Oui,Anglais,Non,3,3,3,3,5,5,5,5,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1446,2184,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,5,5,5,4,4,4,5,3,Non,Non,Non,Oui,Non,Non,Oui,Non,Non
1447,2185,Un homme,De 25 à 34 ans,Non,Français,Oui,5,4,5,4,5,3,4,3,4,2,3,2,Non,Oui,Je ne sais pas,Non,Je ne sais pas,Non,Non,Non,Oui
1448,2187,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1449,2188,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,4,3,3,3,2,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1450,2189,Un homme,De 45 à 54 ans,Oui,Grecque,Non,5,5,5,5,5,5,5,5,5,4,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1451,2190,Un homme,De 55 à 64 ans,Oui,Français,Non,4,4,4,4,3,2,3,2,4,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1452,2191,Une femme,De 25 à 34 ans,Oui,Anglais,Oui,5,4,4,3,5,5,5,5,5,4,1,2,Non,Oui,Oui,Non,Non,Non,Non,Non,Non
1453,2192,Un homme,De 35 à 44 ans,Non,Arabe,Oui,5,4,5,4,3,2,4,2,5,5,4,1,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non
1454,2193,Une femme,De 45 à 54 ans,Oui,Anglais,Oui,5,5,5,5,5,5,5,5,5,4,3,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1455,2194,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,3,3,1,1,5,2,5,3,Non,Non,Non,Non,Non,Non,Oui,Non,Oui
1456,2196,Une femme,De 35 à 44 ans,Non,Arabe,Non,5,5,5,5,3,2,3,3,4,2,4,3,Non,Non,Non,Non,Oui,Non,Non,Non,Non
1457,2213,Un homme,De 18 à 24 ans,Non,Espagnol,Non,3,3,3,3,3,3,3,4,5,2,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1458,2245,Une femme,De 35 à 44 ans,Non,Portugais,Non,5,4,5,4,3,2,3,4,5,2,3,2,Non,Oui,Non,Non,Non,Non,Non,Non,Oui
1459,2246,Un homme,De 35 à 44 ans,Non,Arabe,Oui,5,5,5,5,4,4,5,4,1,2,4,3,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Non
1460,2247,Une femme,De 35 à 44 ans,Non,Kabyle,Oui,5,5,5,5,2,1,2,1,5,5,2,2,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui
1461,2278,Un homme,De 45 à 54 ans,Non,Français,Oui,4,4,4,4,3,5,4,4,5,5,4,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1462,2311,Un homme,De 45 à 54 ans,Oui,Anglais,Non,5,4,4,3,5,5,5,5,5,4,4,2,Non,Non,Non,Non,Non,Non,Oui,Non,Je ne sais pas
1463,2312,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,4,3,3,2,5,5,4,3,Oui,Non,Non,Non,Non,Non,Oui,Non,Non
1464,2314,Une femme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,5,5,5,5,5,4,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1465,2344,Un homme,De 55 à 64 ans,Non,Français,Non,5,5,5,5,4,4,4,4,1,2,3,2,Non,Oui,Non,Non,Non,Non,Non,Non,Non
1466,2345,Un homme,De 25 à 34 ans,Oui,Français,Oui,5,5,5,4,5,5,5,5,5,2,4,2,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non
1467,2377,Une femme,De 35 à 44 ans,Non,Français,Non,4,4,5,4,4,3,3,3,4,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1468,2378,Un homme,De 35 à 44 ans,Non,Anglais,Non,4,3,3,3,4,4,4,4,4,2,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1469,2410,Une femme,De 25 à 34 ans,Oui,Anglais,Non,5,5,5,5,5,5,5,5,4,2,4,2,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui
1470,2411,Un homme,De 25 à 34 ans,Non,Espagnol,Oui,2,1,2,1,5,3,5,5,4,2,2,2,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui
1471,2412,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,2,2,2,5,4,1,5,9,Je préfère ne pas répondre,Non,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Oui
1472,2413,Un homme,De 25 à 34 ans,Non,Breton,Non,5,5,5,5,3,3,3,3,1,2,5,4,Non,Oui,Non,Non,Non,Non,Non,Non,Oui
1473,2414,Une femme,De 45 à 54 ans,Non,Français,Non,5,5,5,5,5,5,5,5,5,5,2,1,Oui,Oui,Non,Oui,Non,Non,Non,Non,Oui
1474,2415,Un homme,De 18 à 24 ans,Non,Kabyle,Non,5,5,5,5,4,3,4,4,1,5,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1475,2416,Une femme,De 18 à 24 ans,Non,Français,Oui,5,5,5,5,4,2,4,4,4,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1476,2417,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,3,3,4,3,5,5,5,4,Non,Non,Non,Oui,Non,Oui,Non,Non,Non
1477,2418,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,4,3,Non,Non,Non,Non,Non,Je ne sais pas,Non,Non,Non
1478,2419,Une femme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,4,4,4,4,5,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1479,2420,Une femme,De 18 à 24 ans,Non,Français,Oui,4,5,5,4,3,2,3,2,4,4,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1480,2421,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,4,3,4,4,5,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1481,2422,Un homme,De 35 à 44 ans,Non,Espagnol,Oui,5,5,4,4,3,3,3,2,5,5,2,1,Non,Non,Non,Oui,Non,Oui,Non,Non,Non
1483,2424,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,4,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1484,2425,Un homme,De 18 à 24 ans,Oui,Français,Non,4,4,3,3,5,5,5,4,4,2,5,2,Je ne sais pas,Non,Non,Non,Je ne sais pas,Non,Oui,Non,Oui
1485,2426,Une femme,75 ans ou plus,Oui,Français,Non,5,5,5,5,1,1,1,1,5,5,5,4,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas
1486,2427,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,4,5,5,5,5,5,5,2,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1487,2429,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,2,2,2,1,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1488,2430,Une femme,De 55 à 64 ans,Oui,Italien,Non,4,4,4,3,5,5,5,5,5,2,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1489,2431,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,2,2,3,3,2,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1490,2432,Une femme,De 65 à 74 ans,Oui,Anglais,Non,5,4,4,3,5,5,5,5,1,5,3,2,Non,Non,Non,Non,Non,Non,Oui,Non,Oui
1491,2433,Une femme,De 35 à 44 ans,Non,Arabe,Oui,5,5,5,5,5,4,5,5,5,5,2,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1492,2434,Un homme,De 65 à 74 ans,Non,Anglais,Oui,5,5,5,5,5,5,5,5,5,5,1,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1493,2435,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,4,4,4,4,3,5,5,4,2,Oui,Non,Non,Non,Non,Non,Non,Non,Non
1494,2437,Un homme,De 45 à 54 ans,Non,Français,Oui,5,5,5,5,2,2,2,2,5,5,4,3,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui
1495,2438,Une femme,De 25 à 34 ans,Oui,Anglais,Je préfère ne pas répondre,3,2,3,2,5,5,5,5,5,2,4,2,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui
1496,2439,Une femme,De 18 à 24 ans,Non,Anglais,Oui,1,1,2,2,5,5,5,5,2,2,1,1,Oui,Non,Non,Non,Non,Non,Non,Non,Oui
1498,2442,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,2,2,2,2,5,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1499,2444,Une femme,De 55 à 64 ans,Oui,Français,Non,5,4,5,4,3,3,3,3,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1500,2446,Une femme,De 18 à 24 ans,Non,Français,Oui,5,4,5,5,4,3,3,4,5,5,2,2,Non,Non,Non,Oui,Non,Non,Non,Oui,Non
1501,2477,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,1,1,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1502,2478,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,3,3,3,3,1,1,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1503,2509,Une femme,De 35 à 44 ans,Oui,Grecque,Oui,5,5,5,5,5,5,5,5,4,4,3,9,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non
1504,2510,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,4,1,1,1,1,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1505,2512,Une femme,De 18 à 24 ans,Non,Arabe,Oui,5,5,5,5,5,5,5,5,5,5,4,2,Non,Non,Non,Non,Oui,Non,Non,Non,Non
1506,2514,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,3,5,5,5,3,5,2,2,2,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non
1507,2515,Une femme,De 18 à 24 ans,Non,Anglais,Non,2,2,3,2,4,4,4,4,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1508,2516,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,3,2,3,2,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1509,2517,Une femme,De 65 à 74 ans,Non,Italien,Non,5,5,5,3,5,5,5,5,4,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1510,2518,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,3,3,3,2,4,2,4,8,Non,Non,Non,Non,Non,Non,Non,Oui,Oui
1511,2542,Une femme,De 35 à 44 ans,Non,Anglais,Oui,5,5,5,5,5,5,5,5,5,2,4,1,Non,Oui,Non,Non,Non,Non,Non,Non,Oui
1512,2575,Une femme,De 25 à 34 ans,Non,Français,Oui,4,4,4,4,2,2,2,1,4,4,2,3,Non,Non,Oui,Non,Non,Non,Non,Oui,Non
1513,2608,Une femme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,3,2,2,2,4,4,4,3,Non,Oui,Non,Non,Non,Non,Non,Non,Non
1514,2610,Une femme,De 35 à 44 ans,Oui,Anglais,Non,5,3,5,5,4,4,5,4,4,4,4,1,Oui,Oui,Oui,Non,Je ne sais pas,Oui,Non,Non,Oui
1515,2641,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,4,2,5,3,Non,Non,Non,Non,Non,Non,Oui,Non,Oui
