SGC,Year,Total Net Migration,Immigrants,Emigrants,Returning Emigrants,Net Temporary Emigrants,Net Non-Permanent Residents,Net Interprovincial Migrants,Net Intraprovincial Migrants
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"Source: Statistics Canada, TABLE NUMBER",,,,,,,,
,,,,,,,,,
,2011 Standard Geographical Classification (SGC),,,,,,,,
,"The net non permanent residents (NPRs) are obtained by subtracting the stocks of NPRs as of July 1st of two consecutive years. As there are no reliable administrative data available to directly estimate net number of NPRs at the subprovincial level, the provincial/territorial estimates by age and sex are disaggregated by subprovincial area, age and sex on the basis of the distribution coming from the most recent census (or from the National Household Survey (NHS) in 2011).

For the 2005/2006 and 2010/2011 years, the net NPRs are calculated using two different distributions, that is the 2001 and 2006 Censuses for the year 2005/2006, and the 2006 Census as well as the 2011 NHS for the year 2010/2011. This approach assumes that the two distributions are similar. If the two distributions of NPRs by subprovincial area vary, the net NPRs for years 2005/2006 and 2010/2011 will absorb all of the changes attributable to the difference between the two distributions that were used. For this reason, the net NPRs for years 2005/2006 and 2010/2011 should not be compared with the rest of the historical series. This warning is also relevant for net international migrants and for total net migrants for years 2005/2006 and 2010/2011, since they are derived using the net NPR estimates.",,,,,,,,
