"REF_DATE","GEO","DGUID","Knowledge of official languages","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1951","Manitoba","2016A000246","French only","Number","Number","223","units","0","v1043024572","8.2.1","7869","","","","0"
"1951","Manitoba","2016A000246","French only","Percentage","Percentage","242","units","0","v1043024573","8.2.2","1.0","","","","1"
"1951","Manitoba","2016A000246","English only","Number","Number","223","units","0","v1043024574","8.3.1","685914","","","","0"
"1951","Manitoba","2016A000246","English only","Percentage","Percentage","242","units","0","v1043024575","8.3.2","88.3","","","","1"
"1951","Manitoba","2016A000246","English and French","Number","Number","223","units","0","v1043024576","8.4.1","58441","","","","0"
"1951","Manitoba","2016A000246","English and French","Percentage","Percentage","242","units","0","v1043024577","8.4.2","7.5","","","","1"
"1951","Manitoba","2016A000246","Neither English nor French","Number","Number","223","units","0","v1043024578","8.5.1","24317","","","","0"
"1951","Manitoba","2016A000246","Neither English nor French","Percentage","Percentage","242","units","0","v1043024579","8.5.2","3.1","","","","1"
"1951","Saskatchewan ","2016A000247","Total, knowledge of official languages","Number","Number","223","units","0","v1043024580","9.1.1","831728","","","","0"
"1951","Saskatchewan ","2016A000247","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024581","9.1.2","100.0","","","","1"
"1951","Saskatchewan ","2016A000247","French only","Number","Number","223","units","0","v1043024582","9.2.1","4656","","","","0"
"1951","Saskatchewan ","2016A000247","French only","Percentage","Percentage","242","units","0","v1043024583","9.2.2","0.6","","","","1"
"1951","Saskatchewan ","2016A000247","English only","Number","Number","223","units","0","v1043024584","9.3.1","767248","","","","0"
"1951","Saskatchewan ","2016A000247","English only","Percentage","Percentage","242","units","0","v1043024585","9.3.2","92.2","","","","1"
"1951","Saskatchewan ","2016A000247","English and French","Number","Number","223","units","0","v1043024586","9.4.1","40789","","","","0"
"1951","Saskatchewan ","2016A000247","English and French","Percentage","Percentage","242","units","0","v1043024587","9.4.2","4.9","","","","1"
"1951","Saskatchewan ","2016A000247","Neither English nor French","Number","Number","223","units","0","v1043024588","9.5.1","19035","","","","0"
"1951","Saskatchewan ","2016A000247","Neither English nor French","Percentage","Percentage","242","units","0","v1043024589","9.5.2","2.3","","","","1"
"1951","Alberta","2016A000248","Total, knowledge of official languages","Number","Number","223","units","0","v1043024590","10.1.1","939501","","","","0"
"1951","Alberta","2016A000248","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024591","10.1.2","100.0","","","","1"
"1951","Alberta","2016A000248","French only","Number","Number","223","units","0","v1043024592","10.2.1","5922","","","","0"
"1951","Alberta","2016A000248","French only","Percentage","Percentage","242","units","0","v1043024593","10.2.2","0.6","","","","1"
"1951","Alberta","2016A000248","English only","Number","Number","223","units","0","v1043024594","10.3.1","868696","","","","0"
"1951","Alberta","2016A000248","English only","Percentage","Percentage","242","units","0","v1043024595","10.3.2","92.5","","","","1"
"1951","Alberta","2016A000248","English and French","Number","Number","223","units","0","v1043024596","10.4.1","40785","","","","0"
"1951","Alberta","2016A000248","English and French","Percentage","Percentage","242","units","0","v1043024597","10.4.2","4.3","","","","1"
"1951","Alberta","2016A000248","Neither English nor French","Number","Number","223","units","0","v1043024598","10.5.1","24098","","","","0"
"1951","Alberta","2016A000248","Neither English nor French","Percentage","Percentage","242","units","0","v1043024599","10.5.2","2.6","","","","1"
"1951","British Columbia","2016A000259","Total, knowledge of official languages","Number","Number","223","units","0","v1043024600","11.1.1","1165210","","","","0"
"1951","British Columbia","2016A000259","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024601","11.1.2","100.0","","","","1"
"1951","British Columbia","2016A000259","French only","Number","Number","223","units","0","v1043024602","11.2.1","727","","","","0"
"1951","British Columbia","2016A000259","French only","Percentage","Percentage","242","units","0","v1043024603","11.2.2","0.1","","","","1"
"1951","British Columbia","2016A000259","English only","Number","Number","223","units","0","v1043024604","11.3.1","1112937","","","","0"
"1951","British Columbia","2016A000259","English only","Percentage","Percentage","242","units","0","v1043024605","11.3.2","95.5","","","","1"
"1951","British Columbia","2016A000259","English and French","Number","Number","223","units","0","v1043024606","11.4.1","39433","","","","0"
"1951","British Columbia","2016A000259","English and French","Percentage","Percentage","242","units","0","v1043024607","11.4.2","3.4","","","","1"
