Date,Open,High,Low,Close,Adj Close,Volume,Gain
2/12/2014,64.919998,65.059998,64.050003,64.449997,64.449997,47282100,-0.470001
2/13/2014,64.18,67.330002,64.050003,67.330002,67.330002,61911700,3.150002
2/14/2014,67.5,67.580002,66.720001,67.089996,67.089996,36694900,-0.410004
2/18/2014,66.940002,67.540001,66.07,67.300003,67.300003,43809900,0.360001
2/19/2014,67.050003,69.080002,67,68.059998,68.059998,62087100,1.009995
2/20/2014,67.730003,70.110001,65.730003,69.629997,69.629997,130928900,1.899994
2/21/2014,69.690002,69.959999,68.449997,68.589996,68.589996,70932400,-1.100006
2/24/2014,68.739998,71.440002,68.540001,70.779999,70.779999,76620300,2.040001
2/25/2014,70.949997,71,69.449997,69.849998,69.849998,52077000,-1.099999
2/26/2014,70.190002,71.220001,68.849998,69.260002,69.260002,55322700,-0.93
2/27/2014,69.339996,70.010002,68.870003,68.940002,68.940002,41653700,-0.399994
2/28/2014,69.470001,69.879997,67.379997,68.459999,68.459999,66783700,-1.010002
3/3/2014,66.959999,68.050003,66.510002,67.410004,67.410004,56824100,0.450005
3/4/2014,68.660004,68.900002,67.620003,68.800003,68.800003,42013500,0.139999
3/5/2014,69.690002,71.970001,69.620003,71.57,71.57,74567700,1.879998
3/6/2014,71.879997,71.889999,70.25,70.839996,70.839996,46026500,-1.040001
3/7/2014,71.080002,71.18,69.470001,69.800003,69.800003,38927000,-1.279999
3/10/2014,70.769997,72.150002,70.510002,72.029999,72.029999,59871600,1.260002
3/11/2014,72.5,72.589996,69.959999,70.099998,70.099998,59408300,-2.400002
3/12/2014,69.860001,71.349998,69,70.879997,70.879997,46340500,1.019996
3/13/2014,71.290001,71.349998,68.150002,68.830002,68.830002,57091000,-2.459999
3/14/2014,68.489998,69.43,67.459999,67.720001,67.720001,48227000,-0.769997
3/17/2014,68.18,68.949997,66.620003,68.739998,68.739998,52197000,0.559998
3/18/2014,68.760002,69.599998,68.300003,69.190002,69.190002,40827000,0.43
3/19/2014,69.169998,69.290001,67.470001,68.239998,68.239998,43981000,-0.93
3/20/2014,68.010002,68.230003,66.82,66.970001,66.970001,44439000,-1.040001
3/21/2014,67.529999,67.919998,66.18,67.239998,67.239998,59999900,-0.290001
3/24/2014,67.190002,67.360001,63.360001,64.099998,64.099998,85696000,-3.090004
3/25/2014,64.889999,66.190002,63.779999,64.889999,64.889999,68786000,0
3/26/2014,64.739998,64.949997,60.369999,60.389999,60.389999,97503900,-4.349999
3/27/2014,60.509998,61.900002,57.98,60.970001,60.970001,112650000,0.460003
3/28/2014,61.34,61.950001,59.34,60.009998,60.009998,67052000,-1.330002
3/31/2014,60.779999,61.52,59.869999,60.240002,60.240002,53011000,-0.539997
4/1/2014,60.459999,62.66,60.240002,62.619999,62.619999,59291000,2.16
4/2/2014,63.209999,63.91,62.209999,62.720001,62.720001,66277000,-0.489998
4/3/2014,62.549999,63.169998,59.130001,59.490002,59.490002,83859000,-3.059997
4/4/2014,59.939999,60.200001,56.32,56.75,56.75,125214400,-3.189999
4/7/2014,55.900002,58,55.439999,56.950001,56.950001,108488000,1.049999
4/8/2014,57.68,58.709999,57.169998,58.189999,58.189999,78836000,0.509999
4/9/2014,59.630001,62.459999,59.189999,62.41,62.41,100215000,2.779999
4/10/2014,63.080002,63.18,58.68,59.16,59.16,114988000,-3.920002
4/11/2014,57.599998,60.310001,57.310001,58.529999,58.529999,91452000,0.930001
4/14/2014,60.09,60.450001,57.779999,58.889999,58.889999,72325000,-1.200001
4/15/2014,59.290001,59.68,55.880001,59.09,59.09,108623000,-0.200001
4/16/2014,59.790001,60.189999,57.740002,59.720001,59.720001,78774000,-0.07
4/17/2014,59.299999,60.580002,58.720001,58.939999,58.939999,88040000,-0.36
4/21/2014,59.459999,61.240002,59.150002,61.240002,61.240002,60364000,1.780003
4/22/2014,62.650002,63.439999,62.220001,63.029999,63.029999,60631000,0.379997
4/23/2014,63.450001,63.48,61.259998,61.360001,61.360001,95908700,-2.09
4/24/2014,63.599998,63.650002,59.77,60.869999,60.869999,138769000,-2.729999
4/25/2014,59.970001,60.009998,57.57,57.709999,57.709999,92502000,-2.260002
4/28/2014,58.049999,58.310001,54.66,56.139999,56.139999,107758000,-1.91
4/29/2014,56.09,58.279999,55.84,58.150002,58.150002,75557000,2.060002
4/30/2014,57.580002,59.849998,57.16,59.779999,59.779999,76093000,2.199997
5/1/2014,60.43,62.279999,60.209999,61.150002,61.150002,82429000,0.720002
